"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Volume)","q1(Volume)","med(Volume)","q3(Volume)","max(Volume)","avg(Volume)","std(Volume)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.024945,0.024945,0.024945,0.024945,0.024945,0.024945,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.116
1,0.024944,0.024944,0.024944,0.024944,0.024944,0.024944,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.117
1,0.024941,0.024941,0.024941,0.024941,0.024941,0.024941,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.118
1,0.024938,0.024938,0.024938,0.024938,0.024938,0.024938,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.119
1,0.024935,0.024935,0.024935,0.024935,0.024935,0.024935,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.12
1,0.024932,0.024932,0.024932,0.024932,0.024932,0.024932,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.121
1,0.024928,0.024928,0.024928,0.024928,0.024928,0.024928,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.122
1,0.024925,0.024925,0.024925,0.024925,0.024925,0.024925,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.123
1,0.024922,0.024922,0.024922,0.024922,0.024922,0.024922,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.124
1,0.024919,0.024919,0.024919,0.024919,0.024919,0.024919,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.125
1,0.024916,0.024916,0.024916,0.024916,0.024916,0.024916,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.126
1,0.024913,0.024913,0.024913,0.024913,0.024913,0.024913,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.127
1,0.024911,0.024911,0.024911,0.024911,0.024911,0.024911,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.128
1,0.024909,0.024909,0.024909,0.024909,0.024909,0.024909,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.129
1,0.024907,0.024907,0.024907,0.024907,0.024907,0.024907,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.13
1,0.024903,0.024903,0.024903,0.024903,0.024903,0.024903,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.131
1,0.024898,0.024898,0.024898,0.024898,0.024898,0.024898,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.132
1,0.024891,0.024891,0.024891,0.024891,0.024891,0.024891,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.133
1,0.024885,0.024885,0.024885,0.024885,0.024885,0.024885,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.134
1,0.024879,0.024879,0.024879,0.024879,0.024879,0.024879,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.135
1,0.024874,0.024874,0.024874,0.024874,0.024874,0.024874,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.136
1,0.024869,0.024869,0.024869,0.024869,0.024869,0.024869,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.137
1,0.024866,0.024866,0.024866,0.024866,0.024866,0.024866,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.138
1,0.024864,0.024864,0.024864,0.024864,0.024864,0.024864,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.139
1,0.024861,0.024861,0.024861,0.024861,0.024861,0.024861,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.14
