"N","min(C)","q1(C)","med(C)","q3(C)","max(C)","avg(C)","std(C)","min(Area)","q1(Area)","med(Area)","q3(Area)","max(Area)","avg(Area)","std(Area)","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0.12094,0.12094,0.12094,0.12094,0.12094,0.12094,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.076
1,0.12091,0.12091,0.12091,0.12091,0.12091,0.12091,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0765
1,0.12089,0.12089,0.12089,0.12089,0.12089,0.12089,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.077
1,0.12086,0.12086,0.12086,0.12086,0.12086,0.12086,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0775
1,0.12084,0.12084,0.12084,0.12084,0.12084,0.12084,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.078
1,0.12082,0.12082,0.12082,0.12082,0.12082,0.12082,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0785
1,0.12081,0.12081,0.12081,0.12081,0.12081,0.12081,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.079
1,0.12079,0.12079,0.12079,0.12079,0.12079,0.12079,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0795
1,0.12077,0.12077,0.12077,0.12077,0.12077,0.12077,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.08
1,0.12076,0.12076,0.12076,0.12076,0.12076,0.12076,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0805
1,0.12074,0.12074,0.12074,0.12074,0.12074,0.12074,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.081
1,0.12073,0.12073,0.12073,0.12073,0.12073,0.12073,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0815
1,0.12072,0.12072,0.12072,0.12072,0.12072,0.12072,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.082
1,0.12071,0.12071,0.12071,0.12071,0.12071,0.12071,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0825
1,0.1207,0.1207,0.1207,0.1207,0.1207,0.1207,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.083
1,0.12069,0.12069,0.12069,0.12069,0.12069,0.12069,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0835
1,0.12069,0.12069,0.12069,0.12069,0.12069,0.12069,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.084
1,0.12068,0.12068,0.12068,0.12068,0.12068,0.12068,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0845
1,0.12066,0.12066,0.12066,0.12066,0.12066,0.12066,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.085
1,0.12064,0.12064,0.12064,0.12064,0.12064,0.12064,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0855
1,0.12062,0.12062,0.12062,0.12062,0.12062,0.12062,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.086
1,0.1206,0.1206,0.1206,0.1206,0.1206,0.1206,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0865
1,0.12058,0.12058,0.12058,0.12058,0.12058,0.12058,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.087
1,0.12057,0.12057,0.12057,0.12057,0.12057,0.12057,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0875
1,0.12055,0.12055,0.12055,0.12055,0.12055,0.12055,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.088
1,0.12054,0.12054,0.12054,0.12054,0.12054,0.12054,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.0885
1,0.12053,0.12053,0.12053,0.12053,0.12053,0.12053,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.089
